Identyfikator,Nazwa atrybutu 1,Wartości atrybutu 1
289,Kolor,szary
290,Kolor,czarny
291,Kolor,czerwony
292,Kolor,granatowy
294,Kolor,granatowy
295,Kolor,czerwony
296,Kolor,fioletowy
297,Kolor,jasny-braz
299,Kolor,szary
300,Kolor,zielony
301,Kolor,czarny
302,Kolor,czerwony
303,Kolor,czerwony
304,Kolor,granatowy
305,Kolor,szary
306,Kolor,zielony
307,Kolor,czarny
308,Kolor,czerwony
309,Kolor,granatowy
310,Kolor,szary
311,Kolor,zielony
312,Kolor,czarny
313,Kolor,czerwony
314,Kolor,jasny-roz
315,Kolor,zielony
316,Kolor,czarny
317,Kolor,czerwony
318,Kolor,jasny-roz
319,Kolor,zielony
320,Kolor,czarny
321,Kolor,czerwony
322,Kolor,jasny-roz
323,Kolor,zielony
324,Kolor,czarny
325,Kolor,czerwony
326,Kolor,jasny-roz
327,Kolor,zielony
328,Kolor,jasny-roz
329,Kolor,czarny
330,Kolor,czerwony
331,Kolor,zielony
332,Kolor,czarny
333,Kolor,czerwony
334,Kolor,jasny-braz
335,Kolor,zielony
337,Kolor,jasny-braz
338,Kolor,czarny
339,Kolor,czerwony
340,Kolor,szary
341,Kolor,czerwony
342,Kolor,czarny
345,Kolor,szary
346,Kolor,czarny
347,Kolor,jasny-braz
348,Kolor,szary
979,Kolor,
980,Kolor,bordowy
981,Kolor,
982,Kolor,czerwony
983,Kolor,czarny
984,Kolor,bordowy
985,Kolor,jasny-braz
986,Kolor,jasny-roz
987,Kolor,jasny-roz
988,Kolor,czarny
989,Kolor,jasny-braz
990,Kolor,szary
991,Kolor,jasny-roz
992,Kolor,zielony
993,Kolor,granatowy
994,Kolor,bordowy
995,Kolor,szary
997,Kolor,czarny
998,Kolor,czarny
999,Kolor,czarny
1000,Kolor,czarny
1001,Kolor,czarny
1002,Kolor,czarny
1003,Kolor,czarny
1004,Kolor,czarny
1005,Kolor,czarny
1006,Kolor,czarny
1007,Kolor,czarny
1008,Kolor,czarny
1009,Kolor,jasny-braz
1010,Kolor,ciemny-braz
1011,Kolor,czarny
1012,Kolor,czerwony
1013,Kolor,bordowy
1014,Kolor,granatowy
1015,Kolor,szary
1438,Kolor,
1449,Kolor,
