Identyfikator,Nazwa atrybutu,Wartości atrybutu
289,Materiał,Skóra lakierowana
290,Materiał,Skóra lakierowana
291,Materiał,Skóra lakierowana
292,Materiał,Skóra lakierowana
294,Materiał,Skóra lakierowana
295,Materiał,Skóra lakierowana
296,Materiał,Skóra lakierowana
297,Materiał,Skóra lakierowana
299,Materiał,Skóra lakierowana
300,Materiał,Skóra lakierowana
301,Materiał,Skóra lakierowana
302,Materiał,Skóra lakierowana
303,Materiał,Skóra lakierowana
304,Materiał,Skóra lakierowana
305,Materiał,Skóra lakierowana
306,Materiał,Skóra lakierowana
307,Materiał,Skóra lakierowana
308,Materiał,Skóra lakierowana
309,Materiał,Skóra lakierowana
310,Materiał,Skóra lakierowana
311,Materiał,Skóra lakierowana
312,Materiał,Skóra lakierowana
313,Materiał,Skóra lakierowana
314,Materiał,Skóra lakierowana
315,Materiał,Skóra lakierowana
316,Materiał,Skóra lakierowana
317,Materiał,Skóra matowa
318,Materiał,Skóra lakierowana
319,Materiał,Skóra lakierowana
320,Materiał,Skóra lakierowana
321,Materiał,Skóra lakierowana
322,Materiał,Skóra lakierowana
323,Materiał,Skóra lakierowana
324,Materiał,Skóra lakierowana
325,Materiał,Skóra lakierowana
326,Materiał,Skóra lakierowana
327,Materiał,Skóra lakierowana
328,Materiał,Skóra lakierowana
329,Materiał,Skóra lakierowana
330,Materiał,Skóra lakierowana
331,Materiał,Skóra lakierowana
332,Materiał,Skóra lakierowana
333,Materiał,Skóra lakierowana
334,Materiał,Skóra lakierowana
335,Materiał,Skóra lakierowana
337,Materiał,Skóra matowa
338,Materiał,Skóra matowa
339,Materiał,Skóra matowa
340,Materiał,Skóra matowa
341,Materiał,Skóra matowa
342,Materiał,Skóra matowa
345,Materiał,Skóra matowa
346,Materiał,Skóra matowa
347,Materiał,Skóra matowa
348,Materiał,Skóra matowa
979,Materiał,Skóra matowa
980,Materiał,Skóra matowa
981,Materiał,Skóra matowa
982,Materiał,Skóra matowa
983,Materiał,Skóra matowa
984,Materiał,Skóra matowa
985,Materiał,Skóra matowa
986,Materiał,Skóra matowa
987,Materiał,Skóra matowa
988,Materiał,Skóra matowa
989,Materiał,Skóra matowa
990,Materiał,Skóra matowa
991,Materiał,Skóra matowa
992,Materiał,Skóra lakierowana
993,Materiał,Skóra lakierowana
994,Materiał,Skóra lakierowana
995,Materiał,Skóra lakierowana
997,Materiał,Skóra matowa
998,Materiał,Skóra matowa
999,Materiał,Skóra matowa
1000,Materiał,Skóra matowa
1001,Materiał,Skóra matowa
1002,Materiał,Skóra matowa
1003,Materiał,Skóra matowa
1004,Materiał,Skóra matowa
1005,Materiał,Skóra matowa
1006,Materiał,Skóra matowa
1007,Materiał,Skóra matowa
1008,Materiał,Skóra matowa
1009,Materiał,Skóra matowa
1010,Materiał,Skóra matowa
1011,Materiał,Skóra lakierowana
1012,Materiał,Skóra lakierowana
1013,Materiał,Skóra lakierowana
1014,Materiał,Skóra lakierowana
1015,Materiał,Skóra lakierowana
