Identyfikator,Kategorie,Nazwa atrybutu 1,Wartości atrybutu 1,Nazwa atrybutu 2,Wartości atrybutu 2
289,"Portfele, Portfele damskie",Kolekcja,Croco,Materiał,Skóra lakierowana
290,"Portfele, Portfele damskie",Kolekcja,Croco,Materiał,Skóra lakierowana
291,"Portfele, Portfele damskie",Kolekcja,Croco,Materiał,Skóra lakierowana
292,"Portfele, Portfele damskie",Kolekcja,Croco,Materiał,Skóra lakierowana
294,"Portfele, Portfele damskie",Kolekcja,Croco,Materiał,Skóra lakierowana
295,"Portfele, Portfele damskie",Kolekcja,Croco,Materiał,Skóra lakierowana
296,"Portfele, Portfele damskie",Kolekcja,Croco,Materiał,Skóra lakierowana
297,"Portfele, Portfele damskie",Kolekcja,Croco,Materiał,Skóra lakierowana
299,"Portfele, Portfele damskie",Kolekcja,Croco,Materiał,Skóra lakierowana
300,"Portfele, Portfele damskie",Kolekcja,Croco,Materiał,Skóra lakierowana
301,"Portfele, Portfele damskie",Kolekcja,Croco,Materiał,Skóra lakierowana
302,"Okazje, Portfele, Portfele damskie",Kolekcja,Croco,Materiał,Skóra lakierowana
303,"Okazje, Portfele, Portfele damskie",Kolekcja,Croco,Materiał,Skóra lakierowana
304,"Okazje, Portfele, Portfele damskie",Kolekcja,Croco,Materiał,Skóra lakierowana
305,"Okazje, Portfele, Portfele damskie",Kolekcja,Croco,Materiał,Skóra lakierowana
306,"Portfele, Portfele damskie",Kolekcja,Croco,Materiał,Skóra lakierowana
307,"Portfele, Portfele damskie",Kolekcja,Croco,Materiał,Skóra lakierowana
308,"Portfele, Portfele damskie",Kolekcja,Croco,Materiał,Skóra lakierowana
309,"Portfele, Portfele damskie",Kolekcja,Croco,Materiał,Skóra lakierowana
310,"Portfele, Portfele damskie",Kolekcja,Croco,Materiał,Skóra lakierowana
311,"Portfele, Portfele damskie",Kolekcja,Croco,Materiał,Skóra lakierowana
312,"Portfele, Portfele damskie",Kolekcja,Pióra,Materiał,Skóra lakierowana
313,"Portfele, Portfele damskie",Kolekcja,Pióra,Materiał,Skóra lakierowana
314,"Portfele, Portfele damskie",Kolekcja,Pióra,Materiał,Skóra lakierowana
315,"Portfele, Portfele damskie",Kolekcja,Pióra,Materiał,Skóra lakierowana
316,"Portfele, Portfele damskie",Kolekcja,Pióra,Materiał,Skóra lakierowana
317,"Portfele, Portfele damskie",Kolekcja,Pióra,Materiał,
318,"Portfele, Portfele damskie",Kolekcja,Pióra,Materiał,Skóra lakierowana
319,"Portfele, Portfele damskie",Kolekcja,Pióra,Materiał,Skóra lakierowana
320,"Portfele, Portfele damskie",Kolekcja,Pióra,Materiał,Skóra lakierowana
321,"Portfele, Portfele damskie",Kolekcja,Pióra,Materiał,Skóra lakierowana
322,"Portfele, Portfele damskie",Kolekcja,Pióra,Materiał,Skóra lakierowana
323,"Portfele, Portfele damskie",Kolekcja,Pióra,Materiał,Skóra lakierowana
324,"Portfele, Portfele damskie",Kolekcja,Pióra,Materiał,Skóra lakierowana
325,"Portfele, Portfele damskie",Kolekcja,Pióra,Materiał,Skóra lakierowana
326,"Portfele, Portfele damskie",Kolekcja,Pióra,Materiał,Skóra lakierowana
327,"Portfele, Portfele damskie",Kolekcja,Pióra,Materiał,Skóra lakierowana
328,"Portfele, Portfele damskie",Kolekcja,Pióra,Materiał,Skóra lakierowana
329,"Portfele, Portfele damskie",Kolekcja,Pióra,Materiał,Skóra lakierowana
330,"Portfele, Portfele damskie",Kolekcja,Pióra,Materiał,Skóra lakierowana
331,"Portfele, Portfele damskie",Kolekcja,Pióra,Materiał,Skóra lakierowana
332,"Portfele, Portfele damskie",Kolekcja,Pióra,Materiał,Skóra lakierowana
333,"Portfele, Portfele damskie",Kolekcja,Pióra,Materiał,Skóra lakierowana
334,"Portfele, Portfele damskie",Kolekcja,Pióra,Materiał,Skóra lakierowana
335,"Portfele, Portfele damskie",Kolekcja,Pióra,Materiał,Skóra lakierowana
337,"Bestsellery, Portfele, Portfele damskie",Kolekcja,,Materiał,
338,"Bestsellery, Portfele, Portfele damskie",Kolekcja,,Materiał,
339,"Bestsellery, Portfele, Portfele damskie",Kolekcja,,Materiał,
340,"Bestsellery, Portfele, Portfele damskie",Kolekcja,,Materiał,
341,"Bestsellery, Portfele, Portfele damskie",Kolekcja,,Materiał,
342,"Bestsellery, Portfele, Portfele damskie",Kolekcja,,Materiał,
345,"Bestsellery, Portfele, Portfele damskie",Kolekcja,,Materiał,
346,"Portfele, Portfele damskie",Kolekcja,,Materiał,
347,"Bestsellery, Portfele, Portfele damskie",Kolekcja,,Materiał,
348,"Portfele, Portfele damskie",Kolekcja,,Materiał,
979,"Bestsellery, Portfele, Portfele damskie",Kolekcja,,Materiał,
980,"Bestsellery, Portfele, Portfele damskie",Kolekcja,,Materiał,
981,"Bestsellery, Portfele, Portfele damskie",Kolekcja,,Materiał,
982,"Bestsellery, Portfele, Portfele damskie",Kolekcja,,Materiał,
983,"Bestsellery, Portfele, Portfele damskie",Kolekcja,,Materiał,
984,"Bestsellery, Portfele, Portfele damskie",Kolekcja,,Materiał,
985,"Bestsellery, Portfele, Portfele damskie",Kolekcja,,Materiał,
986,"Portfele, Portfele damskie",Kolekcja,,Materiał,
987,"Bez kategorii, Portfele",Kolekcja,,Materiał,
988,"Nowości, Portfele, Portfele damskie",Kolekcja,,Materiał,
989,"Nowości, Portfele, Portfele damskie",Kolekcja,,Materiał,
990,"Nowości, Portfele, Portfele damskie",Kolekcja,,Materiał,
991,"Portfele, Portfele damskie",Kolekcja,,Materiał,
992,"Portfele, Portfele damskie",Kolekcja,Croco,Materiał,Skóra lakierowana
993,"Portfele, Portfele damskie",Kolekcja,Croco,Materiał,Skóra lakierowana
994,"Portfele, Portfele damskie",Kolekcja,Croco,Materiał,Skóra lakierowana
995,"Okazje, Portfele, Portfele damskie",Kolekcja,Croco,Materiał,Skóra lakierowana
997,"Portfele, Portfele męskie",Kolekcja,,Materiał,
998,"Portfele, Portfele męskie",Kolekcja,,Materiał,
999,"Portfele, Portfele męskie",Kolekcja,,Materiał,
1000,"Portfele, Portfele męskie",Kolekcja,,Materiał,
1001,"Portfele, Portfele męskie",Kolekcja,,Materiał,
1002,"Portfele, Portfele męskie",Kolekcja,,Materiał,
1003,"Portfele, Portfele męskie",Kolekcja,,Materiał,
1004,"Portfele, Portfele męskie",Kolekcja,,Materiał,
1005,"Portfele, Portfele męskie",Kolekcja,,Materiał,
1006,"Portfele, Portfele męskie",Kolekcja,,Materiał,
1007,"Portfele, Portfele męskie",Kolekcja,,Materiał,
1008,"Nowości, Portfele, Portfele damskie",Kolekcja,Animals,Materiał,
1009,"Nowości, Portfele, Portfele damskie",Kolekcja,Animals,Materiał,
1010,"Nowości, Portfele, Portfele damskie",Kolekcja,Animals,Materiał,
1011,"Okazje, Portfele, Portfele damskie",Kolekcja,Croco,Materiał,Skóra lakierowana
1012,"Okazje, Portfele, Portfele damskie",Kolekcja,Croco,Materiał,Skóra lakierowana
1013,"Bestsellery, Portfele, Portfele damskie",Kolekcja,Croco,Materiał,Skóra lakierowana
1014,"Portfele, Portfele damskie",Kolekcja,Croco,Materiał,Skóra lakierowana
